;VARIABLE_CIBLE
0;0.8
1;0.8
2;0.6
3;0.8
4;0.8
5;0.6
6;1.0
7;0.2
8;0.6
9;0.6
10;0.0
11;0.4
12;1.0
13;0.2
14;0.4
15;0.6
16;0.6
17;0.8
18;0.4
19;0.4
20;0.6
21;0.4
22;1.0
23;0.8
24;0.4
25;0.6
26;0.2
27;0.8
28;0.8
29;0.4
30;1.0
31;0.4
32;0.4
33;0.2
34;0.6
35;0.6
36;0.8
37;0.2
38;0.8
39;0.8
40;0.2
41;0.4
42;0.6
43;0.6
44;0.4
45;0.4
46;0.6
47;0.6
48;0.6
49;0.8
50;0.8
51;0.6
52;1.0
53;0.6
54;0.4
55;0.4
56;0.8
57;0.6
58;0.8
59;0.8
60;0.6
61;0.8
62;0.8
63;0.4
64;0.8
65;0.4
66;0.4
67;0.4
68;1.0
69;0.8
70;0.6
71;1.0
72;0.4
73;0.4
74;0.6
75;0.6
76;0.6
77;0.4
78;0.8
79;0.2
80;0.8
81;0.4
82;0.6
83;1.0
84;0.6
85;0.6
86;0.6
87;0.2
88;0.6
89;0.6
90;0.6
91;0.8
92;0.6
93;0.8
94;1.0
95;0.8
96;0.8
97;0.2
98;0.4
99;0.8
100;0.4
101;0.4
102;0.6
103;0.6
104;0.8
105;0.6
106;0.6
107;0.6
108;0.4
109;0.6
110;0.6
111;0.4
112;0.4
113;0.8
114;0.8
115;0.4
116;0.8
117;0.6
118;0.4
119;0.6
120;0.4
121;0.8
122;0.8
123;0.2
124;0.8
125;0.4
126;0.4
127;0.6
128;0.2
129;0.4
130;0.4
131;0.4
132;0.4
133;0.2
134;0.6
135;0.8
136;0.4
137;0.4
138;0.6
139;0.4
140;0.8
141;0.8
142;0.6
143;0.8
144;0.8
145;0.6
146;0.4
147;0.2
148;0.4
149;0.6
150;1.0
151;0.2
152;0.4
153;0.4
154;0.8
155;1.0
156;0.4
157;0.6
158;0.8
159;0.8
160;0.8
161;0.2
162;0.2
163;0.6
164;0.6
165;0.8
166;0.6
167;0.6
168;0.2
169;1.0
170;0.4
171;0.0
172;0.6
173;0.6
174;0.6
175;0.6
176;0.6
177;0.8
178;0.4
179;0.8
180;0.6
181;0.6
182;0.8
183;0.6
184;0.6
185;0.6
186;0.8
187;0.4
188;0.4
189;0.6
190;0.8
191;0.6
192;0.4
193;0.2
194;1.0
195;0.8
196;1.0
197;0.6
198;0.8
199;0.4
200;0.8
201;0.6
202;0.4
203;0.8
204;0.4
205;0.4
206;0.2
207;0.2
208;0.4
209;0.6
210;0.6
211;0.8
212;0.2
213;0.8
214;0.6
215;0.4
216;0.4
